# curie_map:
#   ARI: https://diseases.autoimmuneregistry.org/disease/ARI_
#   SNOMEDCT: http://snomed.info/id/
#   omop: https://athena.ohdsi.org/search-terms/terms/
#   DOID: http://purl.obolibrary.org/obo/DOID_
#   MONDO: http://purl.obolibrary.org/obo/MONDO_
#   ncit: http://purl.obolibrary.org/obo/NCIT_
#   icd10cm: http://purl.bioontology.org/ontology/ICD10CM/
#   ORPHA: https://www.orpha.net/en/disease/detail/
#   OMIM: https://omim.org/entry/
#   umls: https://uts.nlm.nih.gov/uts/umls/concept/
#   mesh: http://id.nlm.nih.gov/mesh/
#   skos: http://www.w3.org/2004/02/skos/core#
#   semapv: https://w3id.org/semapv/vocab/
#   orcid: https://orcid.org/
# mapping_set_id: https://diseases.autoimmuneregistry.org/mappings/ari.sssom.tsv
# mapping_provider: https://www.autoimmuneregistry.org
# mapping_set_title: ARI disease cross-reference mappings
# license: https://creativecommons.org/publicdomain/zero/1.0/
subject_id	subject_label	predicate_id	predicate_modifier	object_id	mapping_justification	author_id	mapping_date
ARI:0001008	Adult onset Still's disease	skos:exactMatch		umls:C0085253	semapv:ManualMappingCuration	github:KrishnaTO	2026-06-21
ARI:0001008	Adult onset Still's disease	skos:exactMatch		DOID:14256	semapv:ManualMappingCuration	github:KrishnaTO	2026-06-21
ARI:0001008	Adult onset Still's disease	skos:exactMatch		icd10cm:M06.1	semapv:ManualMappingCuration	github:KrishnaTO	2026-06-21
ARI:0001008	Adult onset Still's disease	skos:exactMatch		mesh:D016706	semapv:ManualMappingCuration	github:KrishnaTO	2026-06-21
ARI:0001008	Adult onset Still's disease	skos:exactMatch		ncit:C197832	semapv:ManualMappingCuration	github:KrishnaTO	2026-06-21
ARI:0001007	Adult-onset immunodeficiency due to anti-IFN-gamma autoantibodies	skos:exactMatch		SNOMEDCT:784393004	semapv:ManualMappingCuration	github:KrishnaTO	2026-06-21
ARI:0001007	Adult-onset immunodeficiency due to anti-IFN-gamma autoantibodies	skos:exactMatch		omop:37205096	semapv:ManualMappingCuration	github:KrishnaTO	2026-06-21
ARI:0001009	Age related macular degeneration	skos:exactMatch		SNOMEDCT:267718000	semapv:ManualMappingCuration	github:KrishnaTO	2026-06-21
ARI:0001009	Age related macular degeneration	skos:exactMatch		omop:374028	semapv:ManualMappingCuration	github:KrishnaTO	2026-06-21
ARI:0001009	Age related macular degeneration	skos:exactMatch		DOID:10871	semapv:ManualMappingCuration	github:KrishnaTO	2026-06-21
ARI:0001009	Age related macular degeneration	skos:exactMatch		umls:C0242383	semapv:ManualMappingCuration	github:KrishnaTO	2026-06-21
ARI:0001009	Age related macular degeneration	skos:exactMatch		mesh:D008268	semapv:ManualMappingCuration	github:KrishnaTO	2026-06-21
ARI:0001009	Age related macular degeneration	skos:exactMatch		ncit:C84391	semapv:ManualMappingCuration	github:KrishnaTO	2026-06-21
ARI:0001001	Acquired epidermolysis bullosa	skos:exactMatch		SNOMEDCT:2772003	semapv:ManualMappingCuration	github:KrishnaTO	2026-06-21
ARI:0001001	Acquired epidermolysis bullosa	skos:exactMatch		omop:4100661	semapv:ManualMappingCuration	github:KrishnaTO	2026-06-21
ARI:0001002	Acquired hemophilia	skos:exactMatch		SNOMEDCT:785308008	semapv:ManualMappingCuration	github:KrishnaTO	2026-06-21
ARI:0001002	Acquired hemophilia	skos:exactMatch		omop:37203917	semapv:ManualMappingCuration	github:KrishnaTO	2026-06-21
ARI:0001003	Acute disseminated encephalomyelitis	skos:exactMatch		SNOMEDCT:83942000	semapv:ManualMappingCuration	github:KrishnaTO	2026-06-21
ARI:0001003	Acute disseminated encephalomyelitis	skos:exactMatch		omop:374021	semapv:ManualMappingCuration	github:KrishnaTO	2026-06-21
ARI:0001003	Acute disseminated encephalomyelitis	skos:exactMatch		DOID:639	semapv:ManualMappingCuration	github:KrishnaTO	2026-06-21
ARI:0001001	Acquired epidermolysis bullosa	skos:exactMatch		DOID:4313	semapv:ManualMappingCuration	github:KrishnaTO	2026-06-21
ARI:0001001	Acquired epidermolysis bullosa	skos:exactMatch		umls:C0079293	semapv:ManualMappingCuration	github:KrishnaTO	2026-06-21
ARI:0001001	Acquired epidermolysis bullosa	skos:exactMatch		icd10cm:L12.3	semapv:ManualMappingCuration	github:KrishnaTO	2026-06-21
ARI:0001001	Acquired epidermolysis bullosa	skos:exactMatch		mesh:D016107	semapv:ManualMappingCuration	github:KrishnaTO	2026-06-21
ARI:0001001	Acquired epidermolysis bullosa	skos:exactMatch		ncit:C84690	semapv:ManualMappingCuration	github:KrishnaTO	2026-06-21
ARI:0001003	Acute disseminated encephalomyelitis	skos:exactMatch		ncit:C34578	semapv:ManualMappingCuration	github:KrishnaTO	2026-06-21
ARI:0001003	Acute disseminated encephalomyelitis	skos:exactMatch		mesh:D004673	semapv:ManualMappingCuration	github:KrishnaTO	2026-06-21
ARI:0001003	Acute disseminated encephalomyelitis	skos:exactMatch		umls:C0014059	semapv:ManualMappingCuration	github:KrishnaTO	2026-06-21
ARI:0001004	Acute febrile mucocutaneous lymph node syndrome	skos:exactMatch		SNOMEDCT:75053002	semapv:ManualMappingCuration	github:KrishnaTO	2026-06-21
ARI:0001004	Acute febrile mucocutaneous lymph node syndrome	skos:exactMatch		omop:314381	semapv:ManualMappingCuration	github:KrishnaTO	2026-06-21
ARI:0001004	Acute febrile mucocutaneous lymph node syndrome	skos:exactMatch		DOID:13378	semapv:ManualMappingCuration	github:KrishnaTO	2026-06-21
ARI:0001004	Acute febrile mucocutaneous lymph node syndrome	skos:exactMatch		umls:C0026691	semapv:ManualMappingCuration	github:KrishnaTO	2026-06-21
ARI:0001004	Acute febrile mucocutaneous lymph node syndrome	skos:exactMatch		icd10cm:M30.3	semapv:ManualMappingCuration	github:KrishnaTO	2026-06-21
ARI:0001004	Acute febrile mucocutaneous lymph node syndrome	skos:exactMatch		icd10cm:446.1	semapv:ManualMappingCuration	github:KrishnaTO	2026-06-21
ARI:0001004	Acute febrile mucocutaneous lymph node syndrome	skos:exactMatch		mesh:D009080	semapv:ManualMappingCuration	github:KrishnaTO	2026-06-21
ARI:0001004	Acute febrile mucocutaneous lymph node syndrome	skos:exactMatch		ncit:C34825	semapv:ManualMappingCuration	github:KrishnaTO	2026-06-21
ARI:0001005	Acute lichenoid pityriasis	skos:exactMatch		SNOMEDCT:86487001	semapv:ManualMappingCuration	github:KrishnaTO	2026-06-21
ARI:0001005	Acute lichenoid pityriasis	skos:exactMatch		omop:4314705	semapv:ManualMappingCuration	github:KrishnaTO	2026-06-21
ARI:0001006	Addison's disease	skos:exactMatch		DOID:13774	semapv:ManualMappingCuration	github:KrishnaTO	2026-06-21
ARI:0001006	Addison's disease	skos:exactMatch		umls:C0001403	semapv:ManualMappingCuration	github:KrishnaTO	2026-06-21
ARI:0001006	Addison's disease	skos:exactMatch		icd10cm:E27.1	semapv:ManualMappingCuration	github:KrishnaTO	2026-06-21
ARI:0001006	Addison's disease	skos:exactMatch		mesh:D000224	semapv:ManualMappingCuration	github:KrishnaTO	2026-06-21
ARI:0001006	Addison's disease	skos:exactMatch		ncit:C26689	semapv:ManualMappingCuration	github:KrishnaTO	2026-06-21
ARI:0001008	Adult onset Still's disease	skos:exactMatch		SNOMEDCT:239920006	semapv:ManualMappingCuration	github:KrishnaTO	2026-06-21
ARI:0001008	Adult onset Still's disease	skos:exactMatch		omop:4344166	semapv:ManualMappingCuration	github:KrishnaTO	2026-06-21
ARI:0001006	Addison's disease	skos:exactMatch		SNOMEDCT:363732003	semapv:ManualMappingCuration	github:KrishnaTO	2026-06-25
ARI:0001009	Age related macular degeneration	skos:exactMatch		icd10cm:362.50	semapv:ManualMappingCuration	github:KrishnaTO	2026-06-25
ARI:0001009	Age related macular degeneration	skos:exactMatch		icd10cm:H35.30	semapv:ManualMappingCuration	github:KrishnaTO	2026-06-25
ARI:0001010	Alopecia areata	skos:exactMatch		umls:C0002171	semapv:ManualMappingCuration	github:KrishnaTO	2026-06-25
ARI:0001011	Angiofollicular lymph node hyperplasia	skos:exactMatch		umls:C0017531	semapv:ManualMappingCuration	github:KrishnaTO	2026-06-25
ARI:0001012	Ankylosing spondylitis	skos:exactMatch		umls:C0038013	semapv:ManualMappingCuration	github:KrishnaTO	2026-06-25
ARI:0001010	Alopecia areata	skos:exactMatch		DOID:986	semapv:ManualMappingCuration	github:KrishnaTO	2026-06-25
ARI:0001011	Angiofollicular lymph node hyperplasia	skos:exactMatch		DOID:0111157	semapv:ManualMappingCuration	github:KrishnaTO	2026-06-25
ARI:0001012	Ankylosing spondylitis	skos:exactMatch		DOID:7147	semapv:ManualMappingCuration	github:KrishnaTO	2026-06-25
ARI:0001011	Angiofollicular lymph node hyperplasia	skos:exactMatch		SNOMEDCT:207036003	semapv:ManualMappingCuration	github:KrishnaTO	2026-06-25
ARI:0001012	Ankylosing spondylitis	skos:exactMatch		SNOMEDCT:9631008	semapv:ManualMappingCuration	github:KrishnaTO	2026-06-25
ARI:0001010	Alopecia areata	skos:exactMatch		SNOMEDCT:68225006	semapv:ManualMappingCuration	github:KrishnaTO	2026-06-25
ARI:0001010	Alopecia areata	skos:exactMatch		icd10cm:704.01	semapv:ManualMappingCuration	github:KrishnaTO	2026-06-25
ARI:0001010	Alopecia areata	skos:exactMatch		icd10cm:L63	semapv:ManualMappingCuration	github:KrishnaTO	2026-06-25
ARI:0001011	Angiofollicular lymph node hyperplasia	skos:exactMatch		icd10cm:D47.Z2	semapv:ManualMappingCuration	github:KrishnaTO	2026-06-25
ARI:0001012	Ankylosing spondylitis	skos:exactMatch		icd10cm:M45	semapv:ManualMappingCuration	github:KrishnaTO	2026-06-25
ARI:0001012	Ankylosing spondylitis	skos:exactMatch		icd10cm:720.0	semapv:ManualMappingCuration	github:KrishnaTO	2026-06-25
ARI:0001005	Acute lichenoid pityriasis	skos:exactMatch		ncit:null	semapv:ManualMappingCuration	github:KrishnaTO	2026-06-25
ARI:0001010	Alopecia areata	skos:exactMatch		mesh:D000506	semapv:ManualMappingCuration	github:KrishnaTO	2026-06-25
ARI:0001011	Angiofollicular lymph node hyperplasia	skos:exactMatch		mesh:D005871	semapv:ManualMappingCuration	github:KrishnaTO	2026-06-25
ARI:0001012	Ankylosing spondylitis	skos:exactMatch		mesh:D013167	semapv:ManualMappingCuration	github:KrishnaTO	2026-06-25
ARI:0001011	Angiofollicular lymph node hyperplasia	skos:exactMatch		ncit:C3056	semapv:ManualMappingCuration	github:KrishnaTO	2026-06-25
ARI:0001012	Ankylosing spondylitis	skos:exactMatch		ncit:C84564	semapv:ManualMappingCuration	github:KrishnaTO	2026-06-25
ARI:0001006	Addison's disease	skos:exactMatch	Not	SNOMEDCT:386584007	semapv:ManualMappingCuration	github:KrishnaTO	2026-06-25
ARI:0001010	Alopecia areata	skos:exactMatch	Not	SNOMEDCT:19754005	semapv:ManualMappingCuration	github:KrishnaTO	2026-06-25
ARI:0001010	Alopecia areata	skos:exactMatch	Not	SNOMEDCT:86166000	semapv:ManualMappingCuration	github:KrishnaTO	2026-06-25
ARI:0001011	Angiofollicular lymph node hyperplasia	skos:exactMatch	Not	mesh:C536362	semapv:ManualMappingCuration	github:KrishnaTO	2026-06-25
ARI:0001010	Alopecia areata	skos:exactMatch	Not	ncit:null	semapv:ManualMappingCuration	github:KrishnaTO	2026-06-25
ARI:0001006	Addison's disease	skos:exactMatch		omop:443394	semapv:ManualMappingCuration	github:AnjaliRH	2026-06-29
